code,source_authority,geographic_identifier_nom
5304121,IATTC,EPO
5304122,IATTC,EPO
5304123,IATTC,EPO
5304124,IATTC,EPO
5304125,IATTC,EPO
5304126,IATTC,EPO
5304127,IATTC,EPO
5304128,IATTC,EPO
5304129,IATTC,EPO
5304130,IATTC,EPO
5304131,IATTC,EPO
5304132,IATTC,EPO
5304133,IATTC,EPO
5304134,IATTC,EPO
5304135,IATTC,EPO
5304136,IATTC,EPO
5304137,IATTC,EPO
5304138,IATTC,EPO
5304139,IATTC,EPO
5304140,IATTC,EPO
5304141,IATTC,EPO
5304142,IATTC,EPO
5304143,IATTC,EPO
5304144,IATTC,EPO
5304145,IATTC,EPO
5304146,IATTC,EPO
5304147,IATTC,EPO
5304148,IATTC,EPO
5304149,IATTC,EPO
5305000,ICCAT,AT-SE
5305001,ICCAT,AT-SE
5305002,ICCAT,AT-SE
5305003,ICCAT,AT-SE
5305004,ICCAT,AT-SE
5305005,ICCAT,AT-SE
5305006,ICCAT,AT-SE
5305007,ICCAT,AT-SE
5305008,ICCAT,AT-SE
5305009,ICCAT,AT-SE
5305010,ICCAT,AT-SE
5305011,ICCAT,AT-SE
5305012,ICCAT,AT-SE
5305013,ICCAT,AT-SE
5305014,ICCAT,AT-SE
5305015,ICCAT,AT-SE
5305016,ICCAT,AT-SE
5305017,ICCAT,AT-SE
5305018,ICCAT,AT-SE
5305021,ICCAT,AT-SW
5305022,ICCAT,AT-SW
5305023,ICCAT,AT-SW
5305024,ICCAT,AT-SW
5305025,ICCAT,AT-SW
5305026,ICCAT,AT-SW
5305027,ICCAT,AT-SW
5305028,ICCAT,AT-SW
5305029,ICCAT,AT-SW
5305030,ICCAT,AT-SW
5305031,ICCAT,AT-SW
5305032,ICCAT,AT-SW
5305035,ICCAT,AT-SW
5305036,ICCAT,AT-SW
5305080,IATTC,EPO
5305081,IATTC,EPO
5305082,IATTC,EPO
5305083,IATTC,EPO
5305084,IATTC,EPO
5305085,IATTC,EPO
5305086,IATTC,EPO
5305087,IATTC,EPO
5305088,IATTC,EPO
5305089,IATTC,EPO
5305090,IATTC,EPO
5305091,IATTC,EPO
5305092,IATTC,EPO
5305093,IATTC,EPO
5305094,IATTC,EPO
5305095,IATTC,EPO
5305096,IATTC,EPO
5305097,IATTC,EPO
5305098,IATTC,EPO
5305099,IATTC,EPO
